== thousand
    4280f431 scored 224/1000
    080ca96c scored 240/1000
    4280f431 scored 240/1000
    080ca96c scored 256/1000
    4280f431 scored 256/1000
    080ca96c scored 272/1000
    4280f431 scored 272/1000
    080ca96c scored 288/1000
    4280f431 scored 288/1000
    080ca96c scored 304/1000
    4280f431 scored 304/1000
    080ca96c scored 320/1000
    4280f431 scored 320/1000
    080ca96c scored 336/1000
    4280f431 scored 336/1000
    080ca96c scored 352/1000
    4280f431 scored 352/1000
    080ca96c scored 368/1000
    4280f431 scored 368/1000
    080ca96c scored 384/1000
    4280f431 scored 384/1000
    080ca96c scored 400/1000
    4280f431 scored 400/1000
    080ca96c scored 416/1000
    4280f431 scored 416/1000
    080ca96c scored 432/1000
    4280f431 scored 432/1000
    080ca96c scored 448/1000
    4280f431 scored 448/1000
    080ca96c scored 464/1000
    4280f431 scored 464/1000
    080ca96c scored 480/1000
    4280f431 scored 480/1000
    080ca96c scored 496/1000
    4280f431 scored 496/1000
    080ca96c scored 512/1000
    4280f431 scored 512/1000
    080ca96c scored 528/1000
    4280f431 scored 528/1000
    080ca96c scored 544/1000
    4280f431 scored 544/1000
    080ca96c scored 560/1000
    4280f431 scored 560/1000
    080ca96c scored 576/1000
    4280f431 scored 576/1000
    080ca96c scored 592/1000
    4280f431 scored 592/1000
    080ca96c scored 608/1000
    4280f431 scored 608/1000
    080ca96c scored 624/1000
    4280f431 scored 624/1000
    080ca96c scored 640/1000
    080ca96c scored 656/1000
    4280f431 scored 640/1000
    4280f431 scored 656/1000
    080ca96c scored 672/1000
    4280f431 scored 672/1000
    080ca96c scored 688/1000
    4280f431 scored 688/1000
    080ca96c scored 704/1000
    4280f431 scored 704/1000
    080ca96c scored 720/1000
    4280f431 scored 720/1000
    080ca96c scored 736/1000
    4280f431 scored 736/1000
    080ca96c scored 752/1000
    4280f431 scored 752/1000
    080ca96c scored 768/1000
    4280f431 scored 768/1000
    080ca96c scored 784/1000
    4280f431 scored 784/1000
    080ca96c scored 800/1000
    4280f431 scored 800/1000
    080ca96c scored 816/1000
    4280f431 scored 816/1000
    080ca96c scored 832/1000
    4280f431 scored 832/1000
    080ca96c scored 848/1000
    4280f431 scored 848/1000
    080ca96c scored 864/1000
    4280f431 scored 864/1000
    080ca96c scored 880/1000
    4280f431 scored 880/1000
    080ca96c scored 896/1000
    4280f431 scored 896/1000
    080ca96c scored 912/1000
    4280f431 scored 912/1000
    080ca96c scored 928/1000
    4280f431 scored 928/1000
    080ca96c scored 944/1000
    4280f431 scored 944/1000
    080ca96c scored 960/1000
    4280f431 scored 960/1000
    080ca96c scored 976/1000
    4280f431 scored 976/1000
    080ca96c scored 992/1000
    4280f431 scored 992/1000
    080ca96c scored 1000/1000
    4280f431 scored 1000/1000
   completed: upload 9.28s, processing 161.3s, integrity ok
   completed: upload 10.01s, processing 161.4s, integrity ok
== metadata latency
results -> reports/staging/workers-2.json
exit=0
